"ComputerName","CollectedAt","DriveLetter","VolumeLabel","FileSystem","TotalSizeGB","FreeSpaceGB","FreeSpacePercent","VolumeHealthStatus","VolumeOperationalStatus","DiskHealthStatus","DiskOperationalStatus","PhysicalMediaType","PhysicalHealthStatus","PhysicalOperationalStatus","OptimizationStatus","OptimizationEventTime","OptimizationEventId","OptimizationEventMessage","Classification","Notes"
"c261-13-1","2026-08-05 18:25:57","C","Windows","NTFS","29.45","15.81","53.7","Healthy","OK","Healthy","Online","Unspecified","Healthy","OK","SkippedByParameter",,,"Skipped because -SkipOptimizationEventLookup was provided.","Healthy",""
"c261-13-1","2026-08-05 18:25:57","D","Temporary Storage","NTFS","16","14.57","91.08","Healthy","OK","Healthy","Online","Unspecified","Healthy","OK","SkippedByParameter",,,"Skipped because -SkipOptimizationEventLookup was provided.","Healthy",""
